Date,Token0,Token1,FeeTier,TVLUSD,VolumeUSD,FeesUSD,APR
2021-12-29,WETH,DAI,3000,7871948.351687243214953968106287457,1360429.312876363997883183888053292,4081.287938629091993649551664159887,=G2*365/E2
2021-12-29,WETH,USDT,500,833082.9630409255629254409498304154,606173.6718669256788396110636018163,303.0868359334628394198055318009074,=G2*365/E2
2021-12-29,sUSD,DAI,500,4964136.062600533126259588311677249,562106.243679703876404608,281.053121839851938202304,=G2*365/E2
2021-12-29,USDC,DAI,500,3378029.794276742389660814271653267,344834.806651940867290113,172.4174033259704336450565,=G2*365/E2
2021-12-29,USDT,DAI,500,853321.2990459295840134934760315451,309799.155899340865711786,154.899577949670432855893,=G2*365/E2
2021-12-29,WETH,WBTC,3000,2072953.106005555637613297755302457,265624.0653922436938801508295052757,796.8721961767310816404524885158268,=G2*365/E2
2021-12-29,WETH,USDC,3000,1439705.935451389028829302697971906,164806.1663630420285561615426075073,494.4184990891260856684846278225211,=G2*365/E2
2021-12-29,WETH,SNX,3000,166539.8425727619980087584928707596,163665.3568886759699586878218087524,490.9960706660279098760634654262579,=G2*365/E2
2021-12-29,WETH,LYRA,10000,5755202.608749171829352705812998675,126515.7354756070769187663508379191,1265.157354756070769187663508379191,=G2*365/E2
2021-12-29,WETH,UNI,3000,2358878.89383596778681470181250912,119446.5217664115523575384924264119,358.3395652992346570726154772792358,=G2*365/E2
2021-12-29,LINK,WETH,3000,409868.397778436270181603064572488,87974.51269212100474725237797180959,263.9235380763630142417571339154289,=G2*365/E2
2021-12-29,WETH,DAI,500,48992.0842040557964176717132754227,84088.61479004759361097996994703565,42.04430739502379680548998497351779,=G2*365/E2
2021-12-29,WETH,USDC,500,140641.778602449319581717230168873,58179.43373311487725677485001955572,29.08971686655743862838742500977783,=G2*365/E2
2021-12-29,LINK,WETH,10000,285695.3910944621683984439501684588,57202.33817362600891155168292679685,572.0233817362600891155168292679685,=G2*365/E2
2021-12-29,WETH,sUSD,3000,123944.1959748280165124231865461408,47958.58100712241826474323129121394,143.8757430213672547942296938736422,=G2*365/E2
2021-12-29,WETH,rETH,3000,728982.6416155901814145868078122113,31166.02021650031633098837921457369,93.49806064950094899296513764372107,=G2*365/E2
2021-12-29,WETH,USDT,3000,321820.9087555079489266689187328208,30384.60365376547936028738010290582,91.15381096129643808086214030871747,=G2*365/E2
2021-12-29,WETH,BitANT,3000,567080.1286384640310067805367980124,16322.40458133193351316407690568528,48.96721374399580053949223071705583,=G2*365/E2
2021-12-29,SNX,DAI,3000,33751.25991982018370140971368825026,15857.028037092327856291,47.571084111276983568873,=G2*365/E2
2021-12-29,RAI,DAI,500,14501.060468645372456342,8295.56052901334820623,4.147780264506674103115,=G2*365/E2
2021-12-29,WETH,LYRA,3000,17749.79089756325285419642057051847,4230.303296473252203714448703570116,12.69090988941975661114334611071035,=G2*365/E2
2021-12-29,WETH,ENS,10000,3383.031300742643916166690269835414,2395.69727472404550948285518941493,23.9569727472404550948285518941493,=G2*365/E2
2021-12-29,WETH,vAELIN,10000,28680.31662003804251283335580277727,1591.348102810481161354102433690003,15.91348102810481161354102433690003,=G2*365/E2
2021-12-29,sUSD,DAI,3000,9806.585156440130562387557470457261,1548.934591426516672086,4.646803774279550016258,=G2*365/E2
2021-12-29,LYRA,DAI,10000,10680.1772479323402136624995921882,1274.203079541176326275,12.74203079541176326275,=G2*365/E2
2021-12-29,USDC,DAI,3000,240430.0599909039132534292783845423,1071.464063545178565419,3.214392190635535696257,=G2*365/E2
2021-12-29,WETH,ENS,3000,1005.173965742892395343987252294861,812.3884977272702237312670236106584,2.437165493181810671193801070831977,=G2*365/E2
2021-12-29,WETH,USDT,10000,13620.97704783691133160396074943524,648.2453642356333918611554474087947,6.482453642356333918611554474087947,=G2*365/E2
2021-12-29,WETH,UNI,500,10317.8183263109055753837820103291,628.6704247744873452278590324785734,0.3143352123872436726139295162392867,=G2*365/E2
2021-12-29,WETH,USDC,10000,23708.23664316922064842278523817157,530.7629385516042408161244046540881,5.307629385516042408161244046540881,=G2*365/E2
2021-12-29,WETH,KROM,3000,9268.910417773337067279804684596198,501.8641263648349547130828946085832,1.50559237909450486413924868382575,=G2*365/E2
2021-12-29,WETH,DAI,10000,9553.019791264400590298887444011937,376.8510430046471395927353152300128,3.768510430046471395927353152300128,=G2*365/E2
2021-12-29,WETH,SYN,10000,7363.272388564447856441811349308082,324.7318064900595592487579916346421,3.247318064900595592487579916346421,=G2*365/E2
2021-12-29,WBTC,DAI,3000,18639.99351083971877247058592154308,309.808545165222012872,0.929425635495666038616,=G2*365/E2
2021-12-29,LINK,DAI,3000,2664.170988606101275449693627892149,295.358715764370889184,0.886076147293112667552,=G2*365/E2
2021-12-29,WETH,UNI,10000,11084.45198027672885540204089364094,258.7817480661765414783568086509723,2.587817480661765414783568086509723,=G2*365/E2
2021-12-29,LINK,WETH,500,1916.590037826109181782177021834108,228.403434494636748967999102650827,0.1142017172473183744839995513254136,=G2*365/E2
2021-12-29,UNI,DAI,3000,2547.411996462443104103919689700349,206.635235967520128551,0.619905707902560385653,=G2*365/E2
2021-12-29,WETH,RAI,3000,1007.574704685241846283260297850527,161.2087828314837324381428764361024,0.4836263484944511973144286293083073,=G2*365/E2
2021-12-29,WETH,LYRA,500,139.915485993696035854272481167391,138.6430715095666176786719299449782,0.0693215357547833088393359649724891,=G2*365/E2
2021-12-29,WETH,0xBTC,10000,508.4152802046201280676376356877904,122.5008368361639364487032208395872,1.225008368361639364487032208395872,=G2*365/E2
